VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
        4.4308228232        0.4885233138        0.1868347941
        2.1022529241        1.9987927877        0.1868347941
        5.2608580108        0.2194848911        0.0000000000
        4.9248674816        0.3146559527        0.0000000000
        5.0922691785        0.2649748989        0.1868347941
        3.1909360836        1.1270933874        0.1868347941
        5.9449768122        0.0799619890        0.0000000000
        5.6011767735        0.1411886175        0.0000000000
        5.7726949315        0.1084310735        0.1868347941
        4.1092825127        0.6247547177        0.1868347941
        6.2914025059        0.0359573816        0.0000000000
        6.1179152089        0.0557990797        0.1868347941
        5.4305290699        0.1782142367        0.1868347941
        0.4902701556        9.5736000763        0.0000000000
        0.5294074796        9.6704741966        0.2277413858
        1.0365315712       10.6656574170        0.1811968996
        1.4267701704       11.2354585663        0.1810440797
        1.5353375715       11.3746387899        0.0000000000
        1.6458649999       11.5092392264        0.1869410986
        2.0046095482       11.9036796627        0.4688437170
        1.5582924787       11.4031601439        0.4085986960
        1.8767928463       11.7699841153        0.1869410923
        0.8364908611       10.3183060581        2.1079473711
        3.0683447542       12.7915530756        0.7285115548
        2.8387157517       12.6288287774        0.4322498077
        3.3854253885       12.9945684063        0.4284118534
        0.8413862616       10.3273828787        2.7564660646
        3.8697136673       13.2610947505        1.9506774013
        4.1870323042       13.4099307908        1.3055703215
        4.9673012158       13.6983681335        1.7995256050
        6.6007067933       13.9886025023        1.2665781449
        5.4520229824       13.8266951853        1.2682730702
        6.1015292355       13.9420998470        0.8823043482
        1.9970503166       11.8959671634        0.0000000000
        2.2467801642       12.1387645590        0.0000000000
        2.1204048768       12.0189193492        0.1869410923
        2.7808968997       12.5856216332        0.0000000000
        3.0639614064       12.7885749706        0.0000000000
        2.9211666521       12.6888591580        0.1869410986
        0.9454601588       10.5131961675        0.0000000000
        0.8590768437       10.3599200568        0.1789004510
        3.3567708677       12.9771967919        0.0000000000
        3.6586003377       13.1510201021        0.0000000000
        3.5066043045       13.0659860299        0.1869410923
        0.6074240215        9.8521872939        0.5448214157
        0.6577319180        9.9623699255        0.9701324536
        4.2863097105       13.4525874665        0.0000000000
        4.6106355129       13.5795848917        0.0000000000
        4.4476826020       13.5181037043        0.1869410923
        1.7597069118       11.6410481952        0.0000000000
        4.9408769707       13.6902923965        0.0000000000
        4.7750675665       13.6369929687        0.1869410923
        2.5082781666       12.3688392574        0.0000000000
        2.6421465220       12.4780574170        0.1887602874
        5.2762164631       13.7844358880        0.0000000000
        5.1079610743       13.7394501781        0.1869410986
        3.9687025385       13.3096145445        0.0000000000
        3.8126648676       13.2322463650        0.1869410986
        5.6158237470       13.8617822831        0.0000000000
        5.4455389583       13.8252216718        0.1869410933
        0.8424784791       10.3294036583        3.3944945180
        0.3703118650        9.2466052687        4.3563262852
        0.8412083019       10.3270534741        4.6731431900
        0.3703118650        9.2466052687        4.9952344899
